
196.0,46,557563,557520,3
195.0,46,557563,557520,3
199.0,46,557563,557520,3
207.0,46,557563,557520,3
201.0,46,557563,557520,3
197.0,46,557563,557520,3
209.0,46,557563,557520,3
199.0,46,557563,557520,3
189.0,46,557563,557520,3
194.0,46,557563,557520,3
196.0,46,557563,557520,3
193.0,46,557563,557520,3
192.0,46,557563,557520,3
204.0,46,557563,557520,3
200.0,46,557563,557520,3
206.0,46,557563,557520,3
201.0,46,557563,557520,3
210.0,46,557563,557520,3
206.0,46,557563,557520,3
209.0,46,557563,557520,3
209.0,46,557563,557520,3
197.0,46,557563,557520,3
196.0,46,557563,557520,3
197.0,46,557563,557520,3
205.0,46,557563,557520,3
200.0,46,557563,557520,3
197.0,46,557563,557520,3
195.0,46,557563,557520,3
213.0,46,557563,557520,3
